"cst_n","NDP","BQ","Green","Lib","Con"
"bramalea--gore--malton",19368,0,1748,16402,19907
"scarborough--agincourt",7376,0,946,18498,13930
"central nova",9412,0,1406,5614,21593
"newmarket--aurora",8886,0,2628,13908,31600
"west nova",5631,0,1487,15632,20204
"lotbini_re--chutes-de-la-chaudi_re",21683,8381,936,2866,22460
"esquimalt--juan de fuca",26198,0,5341,6439,25792
"saint-hyacinthe--bagot",26963,12651,994,2784,8108
"perth--wellington",9861,0,2112,8341,25281
"hamilton east--stoney creek",21931,0,1450,6411,17567
"yukon",2308,0,3037,5290,5422
"elgin--middlesex--london",12439,0,1529,6812,29147
"richmond",7860,0,2032,8027,25109
"cypress hills--grasslands",6248,0,788,1838,20555
"battlefords--lloydminster",7767,0,785,950,19203
"nanaimo--cowichan",31272,0,5005,3007,24497
"west vancouver--sunshine coast--sea to sky country",14828,0,4436,14123,28614
"vaudreuil--soulanges",30177,17781,1864,8023,11360
"rivi_re-des-mille-_les",25639,14873,1229,5300,5057
"brampton west",11225,0,1224,22128,28320
"alfred-pellan",23098,12504,798,12070,6157
"miramichi",7097,0,735,6800,16112
"blackstrap",15769,0,1033,2713,23280
"burnaby--douglas",20943,0,1754,5451,19932
"beauharnois--salaberry",23998,18182,1003,4559,7049
"london west",16109,0,1703,16652,27675
"st. john's east",31388,0,467,3019,9198
"sarnia--lambton",14856,0,1252,6931,26112
"toronto centre",16818,0,2796,22832,12604
"renfrew--nipissing--pembroke",6903,0,877,6545,27462
"fort mcmurray--athabasca",4053,0,1374,3190,21988
"selkirk--interlake",10933,0,1423,1980,26848
"dauphin--swan river--marquette",7657,0,1243,1947,18543
"willowdale",9777,0,0,21275,22207
"fleetwood--port kells",16533,0,1476,8041,23950
"stormont--dundas--south glengarry",8313,0,1038,8510,29538
"sherbrooke",22415,18665,894,5020,4784
"new westminster--coquitlam",23023,0,2160,4069,20776
"oshawa",19212,0,1631,3536,26034
"calgary centre",7314,0,4889,8631,28401
"laval",22050,11567,1260,9422,6366
"brant",16351,0,1858,10780,28045
"chambly--borduas",29591,19147,1072,6165,5425
"saskatoon--rosetown--biggar",14114,0,626,697,14652
"simcoe north",11515,0,3489,11090,31581
"shefford",27575,12615,1022,4855,7908
"edmonton--leduc",11488,0,2896,7270,37778
"mississauga--brampton south",9465,0,1044,18579,23632
"rimouski-neigette--t_miscouata--les basques",18360,13170,867,4101,6218
"thunder bay--rainy river",18085,0,909,8067,10097
"calgary southeast",6482,0,4079,4020,48173
"york--simcoe",10190,0,2851,5702,33614
"south surrey--white rock--cloverdale",11881,0,3245,9775,31990
"kings--hants",8043,0,1520,15887,14714
"delta--richmond east",11181,0,2324,8112,26059
"kelowna--lake country",13322,0,5265,7069,34566
"nepean--carleton",12962,0,3260,20146,43477
"ottawa--orl_ans",9086,0,1839,24649,28584
"saint-bruno--saint-hubert",24361,15384,1523,7423,5887
"mississauga south",6354,0,1532,18393,22991
"kamloops--thompson--cariboo",20983,0,2932,3026,29682
"vancouver centre",15325,0,9089,18260,15323
"mississauga--erindale",10327,0,1694,21541,29793
"repentigny",32131,19242,1078,4830,4606
"beaches--east york",20265,0,2240,14967,11067
"kitchener centre",10742,0,1972,15592,21119
"nipissing--timiskaming",8781,0,2518,15477,15495
"portneuf--jacques-cartier",22387,10745,1279,3463,0
"calgary--nose hill",7189,0,3480,6501,40384
"timmins--james bay",16738,0,724,5230,10526
"winnipeg south",5693,0,889,14296,22840
"compton--stanstead",24097,13179,1241,6132,5982
"guelph",9880,0,3619,25588,19352
"newton--north delta",15413,0,1520,14510,14437
"dufferin--caledon",6409,0,7132,6361,28647
"edmonton--sherwood park",7971,0,1926,4131,24623
